model,n_subjects,mse_mean,mae_mean,r2_mean,mamba_mse_mean,mamba_mae_mean,mamba_r2_mean
ridge,28,191918.15665623758,3.732757029788835,0.12147774653775352,28328.754064140045,0.600278072857431,0.716562596814973
pls,28,191937.74999209883,3.4999174072622403,0.06173163914938167,28328.754064140045,0.600278072857431,0.716562596814973
random_forest,28,191942.2623064417,3.3378556311547407,0.039496875093718034,28328.754064140045,0.600278072857431,0.716562596814973
